Dataset S1A. Results for the 484 differentially expressed genes (DEGs) between all control and heated corals regardless of population. FoldChange is calculated as the ratio of Heated/Control expression. Full annotation information can be found in the full supporting annotationfile at http://palumbilab.stanford.edu/data.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ourcontigname,topnrMatch,topnrEvalue,Uniprotmatch,evalue,Uniprot Description,HGNC_Name,foldChange,p-value,q-value
contig82716_77941,hypothetical protein TRIADDRAFT_57362 [Trichoplax adhaerens] gi|190583729|gb|EDV23799.1| hypothetical protein TRIADDRAFT_57362 [Trichoplax adhaerens],3.39E-28,Q9HAR2,1.00E-20,Latrophilin-3,latrophilin 3,3.50,1.48E-04,6.66E-03
contig74363_90184,predicted protein [Nematostella vectensis] gi|156212518|gb|EDO33574.1| predicted protein [Nematostella vectensis],8.33E-08,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,3.47,9.21E-05,4.57E-03
contig181886,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,3.43,2.27E-03,4.84E-02
contig177321_106959_163805,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,3.42,1.81E-05,1.24E-03
contig79161,predicted protein [Nematostella vectensis] gi|156226627|gb|EDO47435.1| predicted protein [Nematostella vectensis],6.26E-35,C3ZT35,8.00E-18,Putative uncharacterized protein,No_HGNC_match,3.42,2.97E-05,1.85E-03
contig112007_150291_111307,Wnt2 [Nematostella vectensis],9.33E-87,Q98SN7,1.00E-78,Protein Wnt-2b,No_HGNC_match,3.42,1.17E-06,1.26E-04
contig79495_132352,PREDICTED: Upf1-like [Saccoglossus kowalevskii],0,Q8R151,0,NFX1-type zinc finger-containing protein 1,No_HGNC_match,3.41,2.03E-04,8.28E-03
contig72658,PREDICTED: similar to Neuropilin-1a precursor (znrp1) [Hydra magnipapillata],2.47E-69,Q91641,2.00E-27,Thyroid hormone-induced protein B,No_HGNC_match,3.39,1.78E-08,3.82E-06
contig99523,predicted protein [Nematostella vectensis] gi|156228619|gb|EDO49417.1| predicted protein [Nematostella vectensis],5.89E-41,Q86UP6,4.00E-22,CUB and zona pellucida-like domain-containing protein 1,CUB and zona pellucida-like domains 1,3.39,9.03E-06,6.82E-04
contig153580,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,3.38,1.26E-03,3.26E-02
contig218659,predicted protein [Nematostella vectensis] gi|156220254|gb|EDO41124.1| predicted protein [Nematostella vectensis],8.95E-33,Q23808,4.00E-15,Aquaporin AQPcic,No_HGNC_match,3.38,1.59E-04,7.05E-03
contig75270_68656,Mucin-like protein [Pichia pastoris GS115] gi|238030675|emb|CAY68599.1| Mucin-like protein [Pichia pastoris GS115],5.47E-08,Q9P785,1.00E-06,LisH domain-containing protein C1711.05,No_HGNC_match,3.36,2.16E-07,3.03E-05
contig153540_106871,predicted protein [Nematostella vectensis] gi|156219431|gb|EDO40313.1| predicted protein [Nematostella vectensis],5.06E-26,Q3ZMH1,2.00E-17,Sodium-coupled monocarboxylate transporter 1,No_HGNC_match,3.34,2.36E-05,1.52E-03
contig184161,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,3.33,1.89E-04,7.84E-03
contig112861_100291_151214,predicted protein [Nematostella vectensis] gi|156215352|gb|EDO36314.1| predicted protein [Nematostella vectensis],2.63E-64,O57382,4.00E-16,Tolloid-like protein 2,No_HGNC_match,3.32,3.20E-07,4.44E-05
contig600166_215284,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,3.32,6.55E-05,3.52E-03
contig151880,predicted protein [Nematostella vectensis] gi|156211340|gb|EDO32452.1| predicted protein [Nematostella vectensis],1.51E-46,Q9BZ19,2.00E-08,Ankyrin repeat domain-containing protein 60,ankyrin repeat domain 60,3.31,2.90E-04,1.09E-02
contig150972,predicted protein [Nematostella vectensis] gi|156225850|gb|EDO46664.1| predicted protein [Nematostella vectensis],1.87E-50,Q9EPZ6,1.00E-45,T-box transcription factor TBX18,No_HGNC_match,3.28,6.95E-05,3.68E-03
contig216502,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,3.28,6.43E-04,2.05E-02
contig120251,predicted protein [Nematostella vectensis] gi|156224891|gb|EDO45713.1| predicted protein [Nematostella vectensis],3.46E-09,O77736,2.00E-05,Tumor necrosis factor receptor superfamily member 6,No_HGNC_match,3.28,2.00E-06,1.96E-04
contig147889,PREDICTED: LOW QUALITY PROTEIN: hemicentin-1-like [Nomascus leucogenys],3.21E-33,Q96RW7,1.00E-31,Hemicentin-1,hemicentin 1,3.27,1.05E-07,1.66E-05
contig123587_153243,predicted protein [Nematostella vectensis] gi|156215985|gb|EDO36932.1| predicted protein [Nematostella vectensis],2.75E-115,P62916,7.00E-111,Transcription initiation factor IIB,No_HGNC_match,3.26,6.86E-05,3.67E-03
contig103080_193887,predicted protein [Nematostella vectensis] gi|156218670|gb|EDO39564.1| predicted protein [Nematostella vectensis],1.45E-34,Q6GLK2,3.00E-25,Thioesterase superfamily member 4,No_HGNC_match,3.26,1.01E-04,4.89E-03
contig142399_212311,predicted protein [Nematostella vectensis] gi|156214167|gb|EDO35163.1| predicted protein [Nematostella vectensis],9.33E-58,O42384,1.00E-12,5-hydroxytryptamine receptor 1A-beta,No_HGNC_match,3.25,8.42E-04,2.46E-02
contig174942_207975_212421_172070,predicted protein [Nematostella vectensis] gi|156213687|gb|EDO34698.1| predicted protein [Nematostella vectensis],5.09E-20,O35114,2.00E-10,Lysosome membrane protein 2,No_HGNC_match,3.25,1.14E-03,3.06E-02
contig147822,predicted protein [Nematostella vectensis] gi|156226751|gb|EDO47559.1| predicted protein [Nematostella vectensis],3.34E-98,Q9K9H0,4.00E-79,Isocitrate lyase,No_HGNC_match,3.24,8.17E-06,6.21E-04
contig151009,predicted protein [Nematostella vectensis] gi|156211761|gb|EDO32853.1| predicted protein [Nematostella vectensis],1.93E-62,O14514,1.00E-34,Brain-specific angiogenesis inhibitor 1,brain-specific angiogenesis inhibitor 1,3.24,1.74E-04,7.42E-03
contig132443,predicted protein [Nematostella vectensis] gi|156214564|gb|EDO35548.1| predicted protein [Nematostella vectensis],3.07E-65,Q98982,3.00E-38,Substance-P receptor,No_HGNC_match,3.23,1.79E-03,4.12E-02
contig181848_203465,predicted protein [Nematostella vectensis] gi|156210743|gb|EDO31895.1| predicted protein [Nematostella vectensis],7.21E-87,P18654,1.00E-82,Ribosomal protein S6 kinase alpha-3,No_HGNC_match,3.23,1.23E-03,3.22E-02
contig93670,PREDICTED: Upf1-like [Saccoglossus kowalevskii],0,Q8R151,0,NFX1-type zinc finger-containing protein 1,No_HGNC_match,3.22,2.99E-04,1.12E-02
contig78655_98713,predicted protein [Nematostella vectensis] gi|156219401|gb|EDO40284.1| predicted protein [Nematostella vectensis],1.89E-23,Q7TN84,3.00E-08,Synaptotagmin-14,No_HGNC_match,3.22,1.70E-06,1.68E-04
contig147395,PREDICTED: Upf1-like [Saccoglossus kowalevskii],3.46E-35,Q8R151,2.00E-32,NFX1-type zinc finger-containing protein 1,No_HGNC_match,3.22,6.29E-05,3.42E-03
contig160729_165099,predicted protein [Nematostella vectensis] gi|156211303|gb|EDO32417.1| predicted protein [Nematostella vectensis],1.41E-20,Q62805,2.00E-12,Galanin receptor type 1,No_HGNC_match,3.21,5.29E-04,1.78E-02
contig181809,hypothetical protein BRAFLDRAFT_143777 [Branchiostoma floridae] gi|229298359|gb|EEN68986.1| hypothetical protein BRAFLDRAFT_143777 [Branchiostoma floridae],3.73E-11,P42674,2.00E-08,Blastula protease 10,No_HGNC_match,3.20,6.79E-04,2.12E-02
contig148864,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,3.16,9.72E-05,4.75E-03
contig87938,PREDICTED: egg bindin receptor 1-like [Saccoglossus kowalevskii],1.07E-19,Q9NYQ6,6.00E-14,Cadherin EGF LAG seven-pass G-type receptor 1,"cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)",3.15,1.06E-03,2.89E-02
contig147986,hypothetical protein [Acropora millepora],3.85E-45,D7NNB6,4.00E-45,Putative uncharacterized protein,No_HGNC_match,3.15,1.33E-04,6.09E-03
contig152203,predicted protein [Nematostella vectensis] gi|156224290|gb|EDO45117.1| predicted protein [Nematostella vectensis],2.29E-61,P18298,2.00E-51,S-adenosylmethionine synthase isoform type-2,No_HGNC_match,3.14,6.10E-04,1.97E-02
contig205962,predicted protein [Nematostella vectensis] gi|156220254|gb|EDO41124.1| predicted protein [Nematostella vectensis],3.00E-73,P55088,1.00E-46,Aquaporin-4,No_HGNC_match,3.13,2.05E-07,2.92E-05
contig205500_82664,predicted protein [Nematostella vectensis] gi|156220582|gb|EDO41448.1| predicted protein [Nematostella vectensis],1.25E-75,Q84TH5,6.00E-40,ABC transporter G family member 25,No_HGNC_match,3.12,5.03E-06,4.17E-04
contig68366,predicted protein [Nematostella vectensis] gi|156210605|gb|EDO31767.1| predicted protein [Nematostella vectensis],2.00E-173,P31422,2.00E-118,Metabotropic glutamate receptor 3,No_HGNC_match,3.12,4.51E-04,1.59E-02
contig158643_83009,predicted protein [Nematostella vectensis] gi|156215226|gb|EDO36191.1| predicted protein [Nematostella vectensis],7.33E-106,O13262,5.00E-29,Amiloride-sensitive sodium channel subunit beta-2,No_HGNC_match,3.12,1.34E-03,3.39E-02
contig163512_152421_180625,predicted protein [Nematostella vectensis] gi|156217622|gb|EDO38535.1| predicted protein [Nematostella vectensis],3.34E-30,Q8R5K6,4.00E-24,Protein Tob1,No_HGNC_match,3.12,8.75E-05,4.36E-03
contig145396,hypothetical protein TRIADDRAFT_49773 [Trichoplax adhaerens] gi|190589744|gb|EDV29766.1| hypothetical protein TRIADDRAFT_49773 [Trichoplax adhaerens],1.87E-97,Q5R5J1,9.00E-93,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",No_HGNC_match,3.11,9.72E-07,1.10E-04
contig123658,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,3.10,1.78E-04,7.51E-03
contig174312_92668_146834,predicted protein [Nematostella vectensis] gi|156209967|gb|EDO31184.1| predicted protein [Nematostella vectensis],4.00E-40,F2ULT3,1.00E-05,Putative uncharacterized protein,No_HGNC_match,3.10,5.71E-05,3.14E-03
contig77121,hypothetical protein NEMVEDRAFT_v1g176140 [Nematostella vectensis] gi|156208935|gb|EDO30302.1| predicted protein [Nematostella vectensis],5.92E-130,Q29496,1.00E-74,Cytochrome P450 3A24,No_HGNC_match,3.10,5.55E-05,3.08E-03
contig65771,predicted protein [Nematostella vectensis] gi|156216891|gb|EDO37818.1| predicted protein [Nematostella vectensis],1.92E-63,O15439,2.00E-36,Multidrug resistance-associated protein 4,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4",3.09,3.38E-04,1.24E-02
contig152005_180015,hypothetical protein BRAFLDRAFT_88566 [Branchiostoma floridae] gi|229289603|gb|EEN60288.1| hypothetical protein BRAFLDRAFT_88566 [Branchiostoma floridae],1.37E-91,Q96RW7,1.00E-77,Hemicentin-1,hemicentin 1,3.07,3.38E-07,4.62E-05
contig147000,hypothetical protein BRAFLDRAFT_58757 [Branchiostoma floridae] gi|229289755|gb|EEN60439.1| hypothetical protein BRAFLDRAFT_58757 [Branchiostoma floridae],6.49E-29,Q9Y6W6,2.00E-29,Dual specificity protein phosphatase 10,dual specificity phosphatase 10,3.06,5.57E-06,4.57E-04
contig81073,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,3.03,4.45E-04,1.58E-02
contig169305_25559_207989,PREDICTED: ribosomal protein S6 kinase alpha-3-like [Anolis carolinensis],1.45E-63,P18652,9.00E-65,Ribosomal protein S6 kinase 2 alpha,No_HGNC_match,3.02,4.07E-04,1.46E-02
contig147237,predicted protein [Nematostella vectensis] gi|156217297|gb|EDO38216.1| predicted protein [Nematostella vectensis],7.42E-93,Q8K339,1.00E-75,DNA/RNA-binding protein KIN17,No_HGNC_match,3.01,2.75E-06,2.50E-04
contig178465_186930,predicted protein [Nematostella vectensis] gi|156228305|gb|EDO49104.1| predicted protein [Nematostella vectensis],2.03E-74,Q90WD8,3.00E-46,Ovochymase-2,No_HGNC_match,3.01,3.14E-05,1.93E-03
contig112626_149884,predicted protein [Nematostella vectensis] gi|156226755|gb|EDO47563.1| predicted protein [Nematostella vectensis],7.11E-32,P62752,1.00E-29,60S ribosomal protein L23a,No_HGNC_match,3.00,7.97E-06,6.12E-04
contig204498_215999,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.98,9.82E-05,4.78E-03
contig113836,protein-(glutamine-N5) methyltransferase [Trichinella spiralis],2.82E-27,Q3T094,2.00E-23,"Protein ETHE1, mitochondrial",No_HGNC_match,2.97,1.28E-03,3.29E-02
contig152777_153218,predicted protein [Nematostella vectensis] gi|156223376|gb|EDO44211.1| predicted protein [Nematostella vectensis],3.08E-115,P52826,1.00E-98,Carnitine O-acetyltransferase,No_HGNC_match,2.96,9.53E-05,4.70E-03
contig68090,predicted protein [Nematostella vectensis] gi|156213457|gb|EDO34475.1| predicted protein [Nematostella vectensis],3.87E-82,Q0KIA2,1.00E-49,PP2C-like domain-containing protein CG9801,No_HGNC_match,2.95,1.54E-03,3.68E-02
contig112589_152022,predicted protein [Nematostella vectensis] gi|156228897|gb|EDO49694.1| predicted protein [Nematostella vectensis],0,Q6ZR37,9.00E-59,Pleckstrin homology domain-containing family G member 7,"pleckstrin homology domain containing, family G (with RhoGef domain) member 7",2.95,1.43E-04,6.47E-03
contig147781,predicted protein [Nematostella vectensis] gi|156224035|gb|EDO44864.1| predicted protein [Nematostella vectensis],1.70E-30,Q960X8,4.00E-29,Hepatocyte growth factor-regulated tyrosine kinase substrate,No_HGNC_match,2.94,3.04E-05,1.88E-03
contig209414,"PREDICTED: zinc finger protein 36, C3H type-like 1-like isoform 1 [Saccoglossus kowalevskii]",9.92E-40,P17431,1.00E-37,"Zinc finger protein 36, C3H1 type-like 1",No_HGNC_match,2.94,9.41E-04,2.66E-02
contig150992,predicted protein [Nematostella vectensis] gi|156210214|gb|EDO31406.1| predicted protein [Nematostella vectensis],5.16E-48,Q6GPD0,2.00E-40,Rho GTPase-activating protein 32,No_HGNC_match,2.94,3.64E-04,1.32E-02
contig110751,predicted protein [Nematostella vectensis] gi|156227813|gb|EDO48615.1| predicted protein [Nematostella vectensis],1.32E-16,Q7RTX9,4.00E-16,Monocarboxylate transporter 14,"solute carrier family 16, member 14 (monocarboxylic acid transporter 14)",2.93,6.66E-04,2.10E-02
contig185035_132504,predicted protein [Capsaspora owczarzaki ATCC 30864],1.31E-14,E9C1P1,1.00E-14,Predicted protein,No_HGNC_match,2.93,9.52E-04,2.69E-02
contig77844,hypothetical protein NEMVEDRAFT_v1g2183 [Nematostella vectensis] gi|156206340|gb|EDO28796.1| predicted protein [Nematostella vectensis],3.60E-56,P0C6B8,3.00E-21,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",No_HGNC_match,2.91,2.27E-05,1.47E-03
contig12867_142623_79520_172896_150105_152164_214037,predicted protein [Nematostella vectensis] gi|156220490|gb|EDO41358.1| predicted protein [Nematostella vectensis],8.32E-74,A6NN14,7.00E-32,Zinc finger protein 729,zinc finger protein 729,2.91,4.64E-05,2.68E-03
contig148011,PREDICTED: similar to agrin [Strongylocentrotus purpuratus] gi|115932230|ref|XP_001194095.1| PREDICTED: similar to agrin [Strongylocentrotus purpuratus],7.15E-22,A2ASQ1,4.00E-17,Agrin,No_HGNC_match,2.91,4.29E-04,1.53E-02
contig180626,predicted protein [Nematostella vectensis] gi|156217814|gb|EDO38723.1| predicted protein [Nematostella vectensis],1.05E-54,Q9HCK4,2.00E-26,Roundabout homolog 2,"roundabout, axon guidance receptor, homolog 2 (Drosophila)",2.90,6.07E-04,1.97E-02
contig99157,predicted protein [Nematostella vectensis] gi|156219464|gb|EDO40346.1| predicted protein [Nematostella vectensis],6.89E-07,Q9EPK6,7.00E-05,Nucleotide exchange factor SIL1,No_HGNC_match,2.90,4.09E-06,3.53E-04
contig160820,PREDICTED: RETRotransposon-like family member (retr-1)-like [Saccoglossus kowalevskii],0,Q05654,3.00E-71,Retrotransposable element Tf2 155 kDa protein type 1,No_HGNC_match,2.89,9.40E-04,2.66E-02
contig127735_145547,hypothetical protein PTSG_12529 [Salpingoeca sp. ATCC 50818],7.55E-12,P47741,2.00E-08,Tumor necrosis factor receptor superfamily member 4,No_HGNC_match,2.88,3.02E-06,2.67E-04
contig151868,predicted protein [Nematostella vectensis] gi|156228897|gb|EDO49694.1| predicted protein [Nematostella vectensis],1.45E-67,Q6ZR37,6.00E-20,Pleckstrin homology domain-containing family G member 7,"pleckstrin homology domain containing, family G (with RhoGef domain) member 7",2.87,2.65E-05,1.68E-03
contig600230,hypothetical protein BRAFLDRAFT_71629 [Branchiostoma floridae] gi|229289406|gb|EEN60092.1| hypothetical protein BRAFLDRAFT_71629 [Branchiostoma floridae],4.42E-73,C3YHV5,5.00E-73,Putative uncharacterized protein,No_HGNC_match,2.87,7.57E-06,5.89E-04
contig178805,C-type lectin [Pocillopora damicornis],2.37E-42,P86854,2.00E-14,Perlucin-like protein,No_HGNC_match,2.87,1.15E-04,5.37E-03
contig132966_210546_87461_180132,"multidrug resistance protein 1 [Mus musculus] gi|126927|sp|P06795.1|MDR1_MOUSE RecName: Full=Multidrug resistance protein 1; AltName: Full=ATP-binding cassette sub-family B member 1; AltName: Full=P-glycoprotein 1; AltName: CD_antigen=CD243 gi|387426|gb|AAA79005.1| multidrug resistance protein [Mus musculus] gi|148682733|gb|EDL14680.1| mCG1177 [Mus musculus] gi|187954781|gb|AAI41364.1| ATP-binding cassette, sub-family B (MDR/TAP), member 1B [Mus musculus] gi|223462403|gb|AAI50812.1| ATP-binding cassette, sub-family B (MDR/TAP), member 1B [Mus musculus]",2.68E-32,P06795,1.00E-33,Multidrug resistance protein 1,No_HGNC_match,2.86,6.22E-04,2.00E-02
contig212439,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.85,7.78E-04,2.33E-02
contig205889,predicted protein [Nematostella vectensis] gi|156217451|gb|EDO38367.1| predicted protein [Nematostella vectensis],1.22E-79,Q5R4F5,1.00E-55,Muscleblind-like protein 2,No_HGNC_match,2.84,4.72E-05,2.68E-03
contig116802_21164,predicted protein [Nematostella vectensis] gi|156210455|gb|EDO31628.1| predicted protein [Nematostella vectensis],6.25E-41,Q9H2B2,1.00E-08,Synaptotagmin-4,synaptotagmin IV,2.83,4.89E-04,1.66E-02
contig98984,predicted protein [Nematostella vectensis] gi|156216891|gb|EDO37818.1| predicted protein [Nematostella vectensis],0,O15439,0,Multidrug resistance-associated protein 4,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4",2.82,1.34E-03,3.38E-02
contig148020,predicted protein [Nematostella vectensis] gi|156223029|gb|EDO43868.1| predicted protein [Nematostella vectensis],4.29E-89,Q8N0W4,2.00E-63,"Neuroligin-4, X-linked","neuroligin 4, X-linked",2.82,4.05E-06,3.52E-04
contig202169,predicted protein [Nematostella vectensis] gi|156227837|gb|EDO48639.1| predicted protein [Nematostella vectensis],8.79E-97,Q5PRF9,1.00E-46,Protein Smaug homolog 2,sterile alpha motif domain containing 4B,2.82,2.24E-03,4.82E-02
contig71477_78060,predicted protein [Nematostella vectensis] gi|156217220|gb|EDO38141.1| predicted protein [Nematostella vectensis],6.06E-18,Q0H8V6,1.00E-04,Small heat shock protein,No_HGNC_match,2.81,1.39E-03,3.48E-02
contig207933,predicted protein [Nematostella vectensis] gi|156215365|gb|EDO36327.1| predicted protein [Nematostella vectensis],1.04E-14,Q29RQ1,3.00E-05,Complement component C7,No_HGNC_match,2.80,2.17E-03,4.69E-02
contig213123,No_sig_nr_hit,No_sig_nr_hit,Q9BY19,1.00E-04,Membrane-spanning 4-domains subfamily A member 8B,"membrane-spanning 4-domains, subfamily A, member 8B",2.80,4.23E-06,3.59E-04
contig118916,"high-affinity choline transporter [Schistosoma mansoni] gi|238661863|emb|CAZ32826.1| high-affinity choline transporter, putative [Schistosoma mansoni]",2.71E-70,Q8UWF0,4.00E-53,High-affinity choline transporter 1,No_HGNC_match,2.78,1.42E-03,3.55E-02
contig78166,predicted protein [Nematostella vectensis] gi|156222612|gb|EDO43454.1| predicted protein [Nematostella vectensis],6.45E-64,Q95218,6.00E-61,Deleted in malignant brain tumors 1 protein,No_HGNC_match,2.78,1.21E-03,3.19E-02
contig160699_124129,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.76,1.82E-03,4.16E-02
contig145804,scavenger receptor cysteine-rich protein [Strongylocentrotus purpuratus] gi|4164531|gb|AAD05493.1| scavenger receptor cysteine-rich protein precursor [Strongylocentrotus purpuratus],3.21E-117,Q95218,2.00E-116,Deleted in malignant brain tumors 1 protein,No_HGNC_match,2.76,9.41E-06,7.05E-04
contig168175_163868,NC domain protein [Treponema phagedenis F0421] gi|320146432|gb|EFW38039.1| NC domain protein [Treponema phagedenis F0421],2.10E-06,E7NTS7,2.00E-06,NC domain protein,No_HGNC_match,2.74,1.49E-04,6.66E-03
contig151563,hypothetical protein [Acropora millepora],1.32E-51,D7NNB6,1.00E-51,Putative uncharacterized protein,No_HGNC_match,2.74,1.86E-04,7.80E-03
contig147635_106719,predicted protein [Nematostella vectensis] gi|156217669|gb|EDO38581.1| predicted protein [Nematostella vectensis],8.80E-21,Q8K0Q5,5.00E-13,Rho GTPase-activating protein 18,No_HGNC_match,2.72,2.46E-04,9.62E-03
contig169547,predicted protein [Nematostella vectensis] gi|156210605|gb|EDO31767.1| predicted protein [Nematostella vectensis],8.73E-71,P31422,2.00E-58,Metabotropic glutamate receptor 3,No_HGNC_match,2.71,3.79E-04,1.37E-02
contig107034,predicted protein [Nematostella vectensis] gi|156225471|gb|EDO46288.1| predicted protein [Nematostella vectensis],1.64E-41,Q6ING9,5.00E-39,"Protein phosphatase 1K, mitochondrial",No_HGNC_match,2.71,1.82E-03,4.16E-02
contig170871,predicted protein [Nematostella vectensis] gi|156209967|gb|EDO31184.1| predicted protein [Nematostella vectensis],2.52E-21,F2ULT3,3.00E-11,Putative uncharacterized protein,No_HGNC_match,2.70,1.88E-05,1.27E-03
contig145530,hypothetical protein NEMVEDRAFT_v1g195613 [Nematostella vectensis] gi|156208188|gb|EDO29770.1| predicted protein [Nematostella vectensis],9.87E-33,Q93097,3.00E-27,Protein Wnt-2b,"wingless-type MMTV integration site family, member 2B",2.70,6.80E-04,2.12E-02
contig177812,predicted protein [Nematostella vectensis] gi|156224518|gb|EDO45343.1| predicted protein [Nematostella vectensis],5.68E-30,Q9VN14,5.00E-24,Contactin,No_HGNC_match,2.69,7.99E-04,2.37E-02
contig82634,predicted protein [Nematostella vectensis] gi|156224891|gb|EDO45713.1| predicted protein [Nematostella vectensis],2.24E-18,P18519,6.00E-07,Tumor necrosis factor receptor superfamily member 16,No_HGNC_match,2.69,2.38E-04,9.35E-03
contig59640,predicted protein [Nematostella vectensis] gi|156225049|gb|EDO45870.1| predicted protein [Nematostella vectensis],1.05E-79,Q12986,3.00E-68,Transcriptional repressor NF-X1,"nuclear transcription factor, X-box binding 1",2.68,8.10E-04,2.40E-02
contig68345_167703_140211_178478_106978,putative 8-lipoxygenase-allene oxide synthase fusion protein [Clavularia viridis],0,O16025,0,Allene oxide synthase-lipoxygenase protein,No_HGNC_match,2.67,2.57E-06,2.40E-04
contig73908,predicted protein [Nematostella vectensis] gi|156223677|gb|EDO44510.1| predicted protein [Nematostella vectensis],8.44E-30,P21802,1.00E-22,Fibroblast growth factor receptor 2,fibroblast growth factor receptor 2,2.66,4.42E-05,2.58E-03
contig145332_178661,"PREDICTED: eukaryotic translation initiation factor 2 subunit 2-like [Xenopus (Silurana) tropicalis] gi|38181842|gb|AAH61598.1| slc5a8 protein [Xenopus (Silurana) tropicalis] gi|89269805|emb|CAJ83563.1| eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa [Xenopus (Silurana) tropicalis]",1.13E-77,P41035,2.00E-76,Eukaryotic translation initiation factor 2 subunit 2,No_HGNC_match,2.66,9.59E-05,4.71E-03
contig165389_151529_18522_181937_190499,vascular endothelial growth factor receptor [Podocoryna carnea],3.46E-29,Q96RW7,2.00E-24,Hemicentin-1,hemicentin 1,2.66,1.66E-03,3.92E-02
contig77601_207123,predicted protein [Nematostella vectensis] gi|156222612|gb|EDO43454.1| predicted protein [Nematostella vectensis],6.45E-64,Q95218,6.00E-61,Deleted in malignant brain tumors 1 protein,No_HGNC_match,2.64,7.81E-04,2.33E-02
contig152588,predicted protein [Nematostella vectensis] gi|156211833|gb|EDO32922.1| predicted protein [Nematostella vectensis],4.20E-10,Q8VC74,2.00E-06,Mitochondrial inner membrane protein COX18,No_HGNC_match,2.64,4.80E-04,1.65E-02
contig113501_174692_88537_82393,predicted protein [Nematostella vectensis] gi|156226542|gb|EDO47351.1| predicted protein [Nematostella vectensis],4.34E-111,P53454,1.00E-42,D(5)-like dopamine receptor,No_HGNC_match,2.64,1.05E-04,5.04E-03
contig176387,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.63,1.80E-03,4.13E-02
contig150330,predicted protein [Nematostella vectensis] gi|156216055|gb|EDO37000.1| predicted protein [Nematostella vectensis],1.42E-39,Q9Y6W6,3.00E-28,Dual specificity protein phosphatase 10,dual specificity phosphatase 10,2.63,2.35E-04,9.29E-03
contig82471_178771_78224_152713,predicted protein [Nematostella vectensis] gi|156219503|gb|EDO40384.1| predicted protein [Nematostella vectensis],1.81E-39,A1XVT4,1.00E-09,Collagen,No_HGNC_match,2.62,8.18E-04,2.41E-02
contig78169,predicted protein [Nematostella vectensis] gi|156217735|gb|EDO38646.1| predicted protein [Nematostella vectensis],1.21E-56,Q9IBG7,2.00E-17,Kielin/chordin-like protein,No_HGNC_match,2.61,1.75E-04,7.46E-03
contig205150,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.61,4.21E-05,2.49E-03
contig145730,"trichohyalin [Trichomonas vaginalis G3] gi|121890311|gb|EAX95692.1| trichohyalin, putative [Trichomonas vaginalis G3]",4.37E-22,Q54G05,1.00E-20,Putative leucine-rich repeat-containing protein DDB_G0290503,No_HGNC_match,2.59,1.41E-04,6.39E-03
contig149663_115749_168693_106597,hypothetical protein BRAFLDRAFT_266560 [Branchiostoma floridae] gi|229298793|gb|EEN69417.1| hypothetical protein BRAFLDRAFT_266560 [Branchiostoma floridae],3.33E-111,Q5REX1,2.00E-106,Serine/threonine-protein kinase SIK2,No_HGNC_match,2.59,4.10E-05,2.46E-03
contig212180,predicted protein [Nematostella vectensis] gi|156225761|gb|EDO46576.1| predicted protein [Nematostella vectensis],9.20E-87,Q91X17,1.00E-23,Uromodulin,No_HGNC_match,2.58,2.79E-04,1.06E-02
contig174844,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.56,1.80E-03,4.13E-02
contig202580,predicted protein [Nematostella vectensis] gi|156223465|gb|EDO44300.1| predicted protein [Nematostella vectensis],1.11E-86,Q8UWF0,3.00E-78,High-affinity choline transporter 1,No_HGNC_match,2.56,2.16E-04,8.71E-03
