Ourcontigname,AnnoOrigin,ContigName,ContigLength,topnrMatch,topnrEvalue,nobadwordnrMatch,nobadwordnrEvalue,Uniprotmatch,X._identity,evalue,ID,Description,KEGG,KEGGKO,GO,GOCC,GOBP,GOMF,Keywords,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,X.8,X.9,X.10,X.11,X.12,X.13,X.14
contig147064,33496_denovo,contig147064,1436,predicted protein [Nematostella vectensis] gi|156218741|gb|EDO39634.1| predicted protein [Nematostella vectensis],2.15E-114,isopentenyl-diphosphate delta-isomerase [Spirochaeta thermophila DSM 6192] gi|306531798|gb|ADN01332.1| isopentenyl-diphosphate delta-isomerase [Spirochaeta thermophila DSM 6192],3.44E-112,Q59022,30.93,2.00E-13,Y1628_METJA,Uncharacterized protein MJ1628,mja:MJ_1628,K06924,GO:0005524,No_GOBP,ATP binding (GO:0005524);,No_GOCC,ATP-binding;Complete proteome;Nucleotide-binding;Reference proteome.;,,,,,,,,,,,,,,,
contig147164,33496_denovo,contig147164,1215,PREDICTED: similar to DnaJ homolog subfamily C member 13 [Canis familiaris],6.33E-85,"dnaJ homolog subfamily C member 13 [Bos taurus] gi|296490962|gb|DAA33060.1| DnaJ (Hsp40) homolog, subfamily C, member 13 [Bos taurus]",2.41E-84,O75165,57.35,3.00E-83,DJC13_HUMAN,DnaJ homolog subfamily C member 13,hsa:23317,K09533,GO:0031072,No_GOBP,heat shock protein binding (GO:0031072);,No_GOCC,Acetylation;Chaperone;Complete proteome;Phosphoprotein;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig147298,33496_denovo,contig147298,745,PREDICTED: UNCoordinated family member (unc-44)-like [Saccoglossus kowalevskii],3.30E-62,ankyrin repeat and SOCS box containing 7 [Xenopus (Silurana) tropicalis] gi|89272917|emb|CAJ82279.1| ankyrin repeat and SOCS box-containing 7 [Xenopus (Silurana) tropicalis] gi|134023743|gb|AAI35161.1| ankyrin repeat and SOCS box-containing 7 [Xenopus (Silurana) tropicalis],4.04E-60,Q5RCK5,61.14,4.00E-61,ASB7_PONAB,Ankyrin repeat and SOCS box protein 7,pon:100190806,K10329,GO:0035556,intracellular signal transduction (GO:0035556);,No_GOMF,No_GOCC,ANK repeat;Repeat;Ubl conjugation pathway.;,,,,,,,,,,,,,,,
contig147524,33496_denovo,contig147524,647,predicted protein [Nematostella vectensis] gi|156215860|gb|EDO36810.1| predicted protein [Nematostella vectensis],8.74E-36,LOC100158626 protein [Xenopus (Silurana) tropicalis],0.913399502,B3RSY8,41.38,1.00E-10,B3RSY8_TRIAD,Putative uncharacterized protein,tad:TRIADDRAFT_54775,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,No_keywords,,,,,,,,,,,,,,,
contig147565,adi_v1_predictedtranscripts,adi_v1.09815,3549,collagen a3(I) [Oncorhynchus mykiss] gi|14164349|dbj|BAB55662.1| collagen a3(I) [Oncorhynchus mykiss],1.18E-74,collagen a3(I) [Oncorhynchus mykiss] gi|14164349|dbj|BAB55662.1| collagen a3(I) [Oncorhynchus mykiss],1.18E-74,P02467,40.88,2.00E-74,CO1A2_CHICK,Collagen alpha-2(I) chain,No_KEGG,No_KEGGKO,GO:0005201,No_GOBP,extracellular matrix structural constituent (GO:0005201);,No_GOCC,Collagen;Complete proteome;Direct protein sequencing;Extracellular matrix;Glycoprotein;Hydroxylation;Pyrrolidone carboxylic acid;Reference proteome;Repeat;Secreted;Signal.;,,,,,,,,,,,,,,,
contig147608,adi_v1_predictedtranscripts,adi_v1.14471,1680,predicted protein [Nematostella vectensis] gi|156216042|gb|EDO36988.1| predicted protein [Nematostella vectensis],2.34E-70,Collagen triple helix repeat-containing protein 1 precursor [Salmo salar],1.34E-33,Q96CG8,40.1,2.00E-33,CTHR1_HUMAN,Collagen triple helix repeat-containing protein 1,hsa:115908,No_KEGGKO,GO:0005581,No_GOBP,No_GOMF,collagen (GO:0005581);,Alternative splicing;Collagen;Complete proteome;Direct protein sequencing;Extracellular matrix;Glycoprotein;Reference proteome;Secreted;Signal.;,,,,,,,,,,,,,,,
contig147805,33496_denovo,contig147805,717,PRKR-interacting protein 1 homolog [Xenopus laevis] gi|82184218|sp|Q6GNG8.1|PKRI1_XENLA RecName: Full=PRKR-interacting protein 1 homolog gi|49115804|gb|AAH73544.1| MGC82814 protein [Xenopus laevis],9.86E-29,PRKR-interacting protein 1 homolog [Xenopus laevis] gi|82184218|sp|Q6GNG8.1|PKRI1_XENLA RecName: Full=PRKR-interacting protein 1 homolog gi|49115804|gb|AAH73544.1| MGC82814 protein [Xenopus laevis],9.86E-29,Q6GNG8,57.41,5.00E-30,PKRI1_XENLA,PRKR-interacting protein 1 homolog,xla:444352,No_KEGGKO,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Coiled coil;Nucleus.;,,,,,,,,,,,,,,,
contig147811,adi_v1_predictedtranscripts,adi_v1.17128,1757,predicted protein [Nematostella vectensis] gi|156223661|gb|EDO44494.1| predicted protein [Nematostella vectensis],1.16E-35,"family with sequence similarity 48, member A [Xenopus laevis] gi|84105486|gb|AAI11517.1| MGC132380 protein [Xenopus laevis]",4.58E-32,Q5ZM71,47.45,2.00E-33,FA48A_CHICK,Protein FAM48A,gga:418896,No_KEGGKO,GO:0007369,gastrulation (GO:0007369);,No_GOMF,No_GOCC,Complete proteome;Developmental protein;Gastrulation;Reference proteome.;,,,,,,,,,,,,,,,
contig148076,adi_v1_predictedtranscripts,adi_v1.16557,1687,predicted protein [Nematostella vectensis] gi|156213953|gb|EDO34955.1| predicted protein [Nematostella vectensis],9.30E-51,LOC100037091 protein [Xenopus laevis],2.91E-28,Q96N46,36.36,7.00E-29,TTC14_HUMAN,Tetratricopeptide repeat protein 14,hsa:151613,No_KEGGKO,GO:0003723,No_GOBP,RNA binding (GO:0003723);,No_GOCC,Alternative splicing;Complete proteome;Phosphoprotein;Reference proteome;Repeat;TPR repeat.;,,,,,,,,,,,,,,,
contig148155,33496_denovo,contig148155,936,"PREDICTED: Ankyrin repeat domain 5-like, partial [Saccoglossus kowalevskii]",1.16E-50,ankyrin repeat domain 5 [synthetic construct],2.49E-45,Q9NU02,44.21,1.00E-46,ANKR5_HUMAN,Ankyrin repeat domain-containing protein 5,hsa:63926,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,ANK repeat;Complete proteome;Polymorphism;Reference proteome;Repeat.;,,,,,,,,,,,,,,,
contig148667,adi_v1_predictedtranscripts,adi_v1.06504,1297,predicted protein [Nematostella vectensis] gi|156225115|gb|EDO45935.1| predicted protein [Nematostella vectensis],2.04E-36,Calmodulin [Lepeophtheirus salmonis],9.19E-29,P14533,48.53,4.00E-30,CABO_LOLPE,Squidulin,No_KEGG,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Acetylation;Calcium;Direct protein sequencing;Repeat.;,,,,,,,,,,,,,,,
contig149644,33496_denovo,contig149644,305,"PREDICTED: similar to Protein NipSnap homolog 1, partial [Hydra magnipapillata]",1.06E-34,"4-nitrophenylphosphatase domain and non-neuronal SNAP25-like protein homolog 1 (C. elegans), isoform CRA_e [Rattus norvegicus]",4.92E-32,O55125,63,2.00E-33,NIPS1_MOUSE,Protein NipSnap homolog 1,mmu:18082,No_KEGGKO,GO:0005743,No_GOBP,No_GOMF,mitochondrial inner membrane (GO:0005743);,Acetylation;Complete proteome;Direct protein sequencing;Reference proteome.;,,,,,,,,,,,,,,,
contig150143,adi_v1_predictedtranscripts,adi_v1.07027,1060,predicted protein [Nematostella vectensis] gi|156218664|gb|EDO39558.1| predicted protein [Nematostella vectensis],1.21E-25,mKIAA1892 protein [Mus musculus],2.70E-17,Q8BGZ3,50,1.00E-18,DCA12_MOUSE,DDB1- and CUL4-associated factor 12,mmu:68970,K11803,GO:0080008,No_GOBP,No_GOMF,CUL4 RING ubiquitin ligase complex (GO:0080008);,Complete proteome;Cytoplasm;Cytoskeleton;Reference proteome;Repeat;Ubl conjugation pathway;WD repeat.;,,,,,,,,,,,,,,,
contig150205,33496_denovo,contig150205,454,predicted protein [Nematostella vectensis] gi|156209805|gb|EDO31039.1| predicted protein [Nematostella vectensis],2.61E-33,"mCG141781, isoform CRA_c [Mus musculus]",8.15E-19,Q0P5W1,29.14,4.00E-20,VPS8_MOUSE,Vacuolar protein sorting-associated protein 8 homolog,No_KEGG,No_KEGGKO,GO:0008270,No_GOBP,zinc ion binding (GO:0008270);,No_GOCC,Alternative splicing;Complete proteome;Metal-binding;Phosphoprotein;Reference proteome;WD repeat;Zinc;Zinc-finger.;,,,,,,,,,,,,,,,
contig150544,adi_v1_predictedtranscripts,adi_v1.01432,4664,PREDICTED: similar to NFX1-type zinc finger-containing protein 1 [Strongylocentrotus purpuratus] gi|115930077|ref|XP_001178906.1| PREDICTED: similar to NFX1-type zinc finger-containing protein 1 [Strongylocentrotus purpuratus],4.82E-24,helicase [Arthroderma gypseum CBS 118893] gi|311341777|gb|EFR00980.1| helicase [Arthroderma gypseum CBS 118893],1.55E-22,Q9P2E3,42.64,2.00E-20,ZNFX1_HUMAN,NFX1-type zinc finger-containing protein 1,hsa:57169,No_KEGGKO,GO:0046872,No_GOBP,metal ion binding (GO:0046872);,No_GOCC,Alternative splicing;Coiled coil;Complete proteome;Metal-binding;Polymorphism;Reference proteome;Repeat;Zinc;Zinc-finger.;,,,,,,,,,,,,,,,
contig150718,adi_v1_predictedtranscripts,adi_v1.17169,4467,predicted protein [Nematostella vectensis] gi|156222405|gb|EDO43250.1| predicted protein [Nematostella vectensis],1.12E-179,"phosphatidylinositide phosphatase SAC2 [Homo sapiens] gi|187611527|sp|Q9Y2H2.3|SAC2_HUMAN RecName: Full=Phosphatidylinositide phosphatase SAC2; AltName: Full=Inositol polyphosphate 5-phosphatase F; AltName: Full=Sac domain-containing inositol phosphatase 2; AltName: Full=Sac domain-containing phosphoinositide 5-phosphatase 2; Short=hSAC2 gi|55660854|emb|CAH72974.1| inositol polyphosphate-5-phosphatase F [Homo sapiens] gi|55958128|emb|CAI16957.1| inositol polyphosphate-5-phosphatase F [Homo sapiens] gi|119569765|gb|EAW49380.1| inositol polyphosphate-5-phosphatase F, isoform CRA_b [Homo sapiens] gi|119569766|gb|EAW49381.1| inositol polyphosphate-5-phosphatase F, isoform CRA_b [Homo sapiens] gi|168278771|dbj|BAG11265.1| inositol polyphosphate-5-phosphatase F [synthetic construct]",3.20E-118,Q9Y2H2,42.75,1.00E-119,SAC2_HUMAN,Phosphatidylinositide phosphatase SAC2,hsa:22876,No_KEGGKO,GO:0042578,No_GOBP,phosphoric ester hydrolase activity (GO:0042578);,No_GOCC,Alternative splicing;Complete proteome;Hydrolase;Phosphoprotein;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig150985,33496_denovo,contig150985,674,predicted protein [Nematostella vectensis] gi|156223965|gb|EDO44795.1| predicted protein [Nematostella vectensis],2.61E-25,"WD-repeat protein, putative [Talaromyces stipitatus ATCC 10500] gi|218717229|gb|EED16650.1| WD-repeat protein, putative [Talaromyces stipitatus ATCC 10500]",1.58E-22,Q00808,34.57,1.00E-21,HETE1_PODAS,Vegetative incompatibility protein HET-E-1,No_KEGG,No_KEGGKO,GO:0005525,No_GOBP,GTP binding (GO:0005525);,No_GOCC,GTP-binding;Nucleotide-binding;Repeat;WD repeat.;,,,,,,,,,,,,,,,
contig151148,33496_denovo,contig151148,549,predicted protein [Nematostella vectensis] gi|156217814|gb|EDO38723.1| predicted protein [Nematostella vectensis],8.16E-19,fibril collagen [Branchiostoma floridae],1.54E-17,P86289,53.16,8.00E-18,CO1A1_BRACN,Collagen alpha-1(I) chain,No_KEGG,No_KEGGKO,GO:0005581,No_GOBP,No_GOMF,collagen (GO:0005581);,Collagen;Direct protein sequencing;Extinct organism protein;Extracellular matrix;Hydroxylation;Repeat;Secreted.;,,,,,,,,,,,,,,,
contig151245,33496_denovo,contig151245,498,GIMAP7 protein [Danio rerio],5.61E-20,GIMAP7 protein [Danio rerio],5.61E-20,Q9NUV9,35.95,3.00E-19,GIMA4_HUMAN,GTPase IMAP family member 4,hsa:55303,No_KEGGKO,GO:0005525,No_GOBP,GTP binding (GO:0005525);,No_GOCC,3D-structure;Acetylation;Coiled coil;Complete proteome;GTP-binding;Nucleotide-binding;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig151297,33496_denovo,contig151297,527,predicted protein [Nematostella vectensis] gi|156227932|gb|EDO48733.1| predicted protein [Nematostella vectensis],3.82E-44,WD repeat-containing protein 5-like protein [Camponotus floridanus],1.62E-18,Q00808,24.09,9.00E-05,HETE1_PODAS,Vegetative incompatibility protein HET-E-1,No_KEGG,No_KEGGKO,GO:0005525,No_GOBP,GTP binding (GO:0005525);,No_GOCC,GTP-binding;Nucleotide-binding;Repeat;WD repeat.;,,,,,,,,,,,,,,,
contig151356,33496_denovo,contig151356,670,glyoxalase/bleomycin resistance protein/dioxygenase [Chitinophaga pinensis DSM 2588] gi|256040608|gb|ACU64152.1| Glyoxalase/bleomycin resistance protein/dioxygenase [Chitinophaga pinensis DSM 2588],2.42E-07,glyoxalase/bleomycin resistance protein/dioxygenase [Chitinophaga pinensis DSM 2588] gi|256040608|gb|ACU64152.1| Glyoxalase/bleomycin resistance protein/dioxygenase [Chitinophaga pinensis DSM 2588],2.42E-07,C7PNQ2,34.29,3.00E-07,C7PNQ2_CHIPD,Glyoxalase/bleomycin resistance protein/dioxygenase,cpi:Cpin_6751,No_KEGGKO,GO:0016702,No_GOBP,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702);",No_GOCC,Complete proteome;Dioxygenase;Oxidoreductase;Signal.;,,,,,,,,,,,,,,,
contig151357,adi_v1_predictedtranscripts,adi_v1.24436,1899,"E3 ubiquitin protein ligase Bre1, putative [Ixodes scapularis] gi|215497675|gb|EEC07169.1| E3 ubiquitin protein ligase Bre1, putative [Ixodes scapularis]",4.08E-74,"E3 ubiquitin protein ligase Bre1, putative [Ixodes scapularis] gi|215497675|gb|EEC07169.1| E3 ubiquitin protein ligase Bre1, putative [Ixodes scapularis]",4.08E-74,Q5ZLS3,33.59,3.00E-46,BRE1A_CHICK,E3 ubiquitin-protein ligase BRE1A,gga:427310,K10696,GO:0008270,No_GOBP,zinc ion binding (GO:0008270);,No_GOCC,Chromatin regulator;Coiled coil;Complete proteome;Ligase;Metal-binding;Nucleus;Reference proteome;Ubl conjugation pathway;Zinc;Zinc-finger.;,,,,,,,,,,,,,,,
contig151803,Matz_milleporaESTs,isotig16119,858,PREDICTED: methyltransferase like 16 [Monodelphis domestica],9.44E-17,methyltransferase 10 domain containing [Danio rerio],7.99E-16,Q5ZIA0,25.42,2.00E-17,MET16_CHICK,Methyltransferase-like protein 16,gga:431184,K11393,GO:0008168,No_GOBP,methyltransferase activity (GO:0008168);,No_GOCC,Complete proteome;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase.;,,,,,,,,,,,,,,,
contig151923,33496_denovo,contig151923,453,predicted protein [Nematostella vectensis] gi|156225565|gb|EDO46382.1| predicted protein [Nematostella vectensis],1.14E-36,RNA (guanine-9-)-methyltransferase domain-containing protein 3 [Ictalurus punctatus] gi|308323446|gb|ADO28859.1| RNA (guanine-9-)-methyltransferase domain-containing protein 3 [Ictalurus punctatus],4.63E-30,Q08BM0,43.33,4.00E-31,RG9D3_DANRE,RNA (guanine-9-)-methyltransferase domain-containing protein 3,dre:768135,No_KEGGKO,GO:0008168,No_GOBP,methyltransferase activity (GO:0008168);,No_GOCC,Coiled coil;Complete proteome;Methyltransferase;Reference proteome;Transferase.;,,,,,,,,,,,,,,,
contig152144,33496_denovo,contig152144,660,predicted protein [Nematostella vectensis] gi|156219918|gb|EDO40793.1| predicted protein [Nematostella vectensis],4.05E-36,Patatin [Methylomicrobium album BG8] gi|333599918|gb|EGL04736.1| Patatin [Methylomicrobium album BG8],5.16E-07,Q21GL5,58.18,6.00E-08,Q21GL5_SACD2,Putative uncharacterized protein,sde:Sde_2907,No_KEGGKO,GO:0006629,lipid metabolic process (GO:0006629);,No_GOMF,No_GOCC,Complete proteome.;,,,,,,,,,,,,,,,
contig152193,33496_denovo,contig152193,553,predicted protein [Nematostella vectensis] gi|156215657|gb|EDO36612.1| predicted protein [Nematostella vectensis],4.83E-51,cysteine--tRNA ligase [Anaerococcus prevotii ACS-065-V-Col13],0.458500825,C3Z1B6,35.83,2.00E-16,C3Z1B6_BRAFL,Putative uncharacterized protein,bfo:BRAFLDRAFT_121691,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Calcium;Complete proteome;Reference proteome;Repeat.;,,,,,,,,,,,,,,,
contig152248,adi_v1_predictedtranscripts,adi_v1.00027,5845,predicted protein [Nematostella vectensis] gi|156220632|gb|EDO41498.1| predicted protein [Nematostella vectensis],9.42E-134,"myosin, heavy polypeptide 10, non-muscle, isoform CRA_b [Rattus norvegicus]",5.72E-14,A9CB34,19.17,3.00E-11,SFI1_PAPAN,Protein SFI1 homolog,No_KEGG,No_KEGGKO,GO:0005814,No_GOBP,No_GOMF,centriole (GO:0005814);,Cytoplasm;Cytoskeleton;Repeat.;,,,,,,,,,,,,,,,
contig152868,adi_v1_predictedtranscripts,adi_v1.17169,4467,predicted protein [Nematostella vectensis] gi|156222405|gb|EDO43250.1| predicted protein [Nematostella vectensis],1.12E-179,"phosphatidylinositide phosphatase SAC2 [Homo sapiens] gi|187611527|sp|Q9Y2H2.3|SAC2_HUMAN RecName: Full=Phosphatidylinositide phosphatase SAC2; AltName: Full=Inositol polyphosphate 5-phosphatase F; AltName: Full=Sac domain-containing inositol phosphatase 2; AltName: Full=Sac domain-containing phosphoinositide 5-phosphatase 2; Short=hSAC2 gi|55660854|emb|CAH72974.1| inositol polyphosphate-5-phosphatase F [Homo sapiens] gi|55958128|emb|CAI16957.1| inositol polyphosphate-5-phosphatase F [Homo sapiens] gi|119569765|gb|EAW49380.1| inositol polyphosphate-5-phosphatase F, isoform CRA_b [Homo sapiens] gi|119569766|gb|EAW49381.1| inositol polyphosphate-5-phosphatase F, isoform CRA_b [Homo sapiens] gi|168278771|dbj|BAG11265.1| inositol polyphosphate-5-phosphatase F [synthetic construct]",3.20E-118,Q9Y2H2,42.75,1.00E-119,SAC2_HUMAN,Phosphatidylinositide phosphatase SAC2,hsa:22876,No_KEGGKO,GO:0042578,No_GOBP,phosphoric ester hydrolase activity (GO:0042578);,No_GOCC,Alternative splicing;Complete proteome;Hydrolase;Phosphoprotein;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig153221,33496_denovo,contig153221,987,predicted protein [Nematostella vectensis] gi|156226763|gb|EDO47571.1| predicted protein [Nematostella vectensis],3.90E-92,hippocalcin-like protein [Saccoglossus kowalevskii] gi|268054125|gb|ACY92549.1| hippocalcin-like protein [Saccoglossus kowalevskii],7.36E-91,P42325,83.6,1.00E-90,NCAH_DROME,Neurocalcin homolog,dme:Dmel_CG7641,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Calcium;Complete proteome;Lipoprotein;Myristate;Reference proteome;Repeat.;,,,,,,,,,,,,,,,
contig153242,33496_denovo,contig153242,646,predicted protein [Nematostella vectensis] gi|156219329|gb|EDO40213.1| predicted protein [Nematostella vectensis],3.02E-20,"glioma tumor suppressor candidate region gene 2, isoform CRA_b [Homo sapiens]",1.04E-12,Q9NZM5,65.38,6.00E-14,GSCR2_HUMAN,Glioma tumor suppressor candidate region gene 2 protein,hsa:29997,K14840,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Acetylation;Complete proteome;Nucleus;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig153295,33496_denovo,contig153295,668,predicted protein [Nematostella vectensis] gi|156216908|gb|EDO37835.1| predicted protein [Nematostella vectensis],2.64E-22,keratin-associated protein 5-1 [Mus musculus] gi|81872174|sp|Q64507.1|KRA51_MOUSE RecName: Full=Keratin-associated protein 5-1; AltName: Full=Ultra high sulfur serine protein 1; Short=UHS-Ser-1 gi|200962|gb|AAA40106.1| serine 1 ultra high sulfur protein [Mus musculus] gi|148686192|gb|EDL18139.1| mCG11070 [Mus musculus] gi|162318554|gb|AAI56386.1| Keratin associated protein 5-1 [synthetic construct] gi|225000396|gb|AAI72693.1| Keratin associated protein 5-1 [synthetic construct],2.74E-11,Q64507,28.06,1.00E-12,KRA51_MOUSE,Keratin-associated protein 5-1,mmu:50774,No_KEGGKO,GO:0005882,No_GOBP,No_GOMF,intermediate filament (GO:0005882);,Alternative splicing;Complete proteome;Keratin;Reference proteome;Repeat.;,,,,,,,,,,,,,,,
contig154007,33496_denovo,contig154007,933,predicted protein [Nematostella vectensis] gi|156225048|gb|EDO45869.1| predicted protein [Nematostella vectensis],5.78E-48,"transcription factor containing NAC and TS-N domains, putative [Ixodes scapularis] gi|215506952|gb|EEC16446.1| transcription factor containing NAC and TS-N domains, putative [Ixodes scapularis]",2.36E-46,Q8AWF2,77.67,6.00E-47,NACA_ORENI,Nascent polypeptide-associated complex subunit alpha,No_KEGG,No_KEGGKO,GO:0015031,protein transport (GO:0015031);,No_GOMF,No_GOCC,Protein transport;Transport.;,,,,,,,,,,,,,,,
contig159833,33496_denovo,contig159833,266,predicted protein [Nematostella vectensis] gi|156226570|gb|EDO47379.1| predicted protein [Nematostella vectensis],7.95E-22,UPF0172 protein CG3501 [Harpegnathos saltator],2.32E-13,Q9W1Y1,54.1,3.00E-14,U172_DROME,UPF0172 protein CG3501,dme:Dmel_CG3501,No_KEGGKO,GO:0005875,No_GOBP,No_GOMF,microtubule associated complex (GO:0005875);,Complete proteome;Reference proteome.;,,,,,,,,,,,,,,,
contig169843,33496_denovo,contig169843,935,"PREDICTED: transcription factor Dp-2 (E2F dimerization partner 2)-like, partial [Saccoglossus kowalevskii]",1.78E-75,transcription factor Dp-1 [Bos taurus] gi|122142588|sp|Q17QZ4.1|TFDP1_BOVIN RecName: Full=Transcription factor Dp-1 gi|109658174|gb|AAI18104.1| Transcription factor Dp-1 [Bos taurus] gi|296481587|gb|DAA23702.1| transcription factor Dp-1 [Bos taurus],1.19E-71,Q17QZ4,76.8,6.00E-73,TFDP1_BOVIN,Transcription factor Dp-1,bta:534579,K04683,GO:0003677,No_GOBP,DNA binding (GO:0003677);,No_GOCC,Acetylation;Activator;Cell cycle;Complete proteome;DNA-binding;Nucleus;Phosphoprotein;Reference proteome;Transcription;Transcription regulation.;,,,,,,,,,,,,,,,
contig170451,adi_v1_predictedtranscripts,adi_v1.22914,1475,hypothetical protein BRAFLDRAFT_125172 [Branchiostoma floridae] gi|229292609|gb|EEN63273.1| hypothetical protein BRAFLDRAFT_125172 [Branchiostoma floridae],2.49E-89,"solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17 [Xenopus laevis] gi|54038100|gb|AAH84385.1| LOC495171 protein [Xenopus laevis]",7.76E-83,O70579,57.14,2.00E-85,PM34_MOUSE,Peroxisomal membrane protein PMP34,mmu:20524,K13354,GO:0005743,No_GOBP,No_GOMF,mitochondrial inner membrane (GO:0005743);,Complete proteome;Membrane;Peroxisome;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport.;,,,,,,,,,,,,,,,
contig170484,adi_v1_predictedtranscripts,adi_v1.14343,1018,predicted protein [Nematostella vectensis] gi|156213502|gb|EDO34519.1| predicted protein [Nematostella vectensis],7.59E-46,suppressor of SWI4 1 homolog [Bos taurus],1.25E-40,Q5REM3,36.89,3.00E-38,SSF1_PONAB,Suppressor of SWI4 1 homolog,pon:100171676,K14859,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Nucleus;Phosphoprotein.;,,,,,,,,,,,,,,,
contig170596,33496_denovo,contig170596,528,PREDICTED: leucine rich repeat (in FLII) interacting protein 2-like [Saccoglossus kowalevskii],2.66E-21,Leucine-rich repeat flightless-interacting protein 2 [Acromyrmex echinatior],1.01E-20,Q4V7E8,58.62,1.00E-21,LRRF2_RAT,Leucine-rich repeat flightless-interacting protein 2,rno:301035,No_KEGGKO,GO:0016055,Wnt receptor signaling pathway (GO:0016055);,No_GOMF,No_GOCC,Coiled coil;Complete proteome;Phosphoprotein;Reference proteome;Wnt signaling pathway.;,,,,,,,,,,,,,,,
contig170964,adi_v1_predictedtranscripts,adi_v1.22279,2319,predicted protein [Nematostella vectensis] gi|156228167|gb|EDO48967.1| predicted protein [Nematostella vectensis],3.99E-74,Ankib1 protein [Mus musculus] gi|219841810|gb|AAI45512.1| Ankib1 protein [Mus musculus],2.27E-61,Q6ZPS6,40.24,1.00E-62,AKIB1_MOUSE,Ankyrin repeat and IBR domain-containing protein 1,mmu:70797,K11967,GO:0008270,No_GOBP,zinc ion binding (GO:0008270);,No_GOCC,ANK repeat;Coiled coil;Complete proteome;Lipoprotein;Metal-binding;Myristate;Phosphoprotein;Reference proteome;Repeat;Zinc;Zinc-finger.;,,,,,,,,,,,,,,,
contig171921,adi_v1_predictedtranscripts,adi_v1.14343,1018,predicted protein [Nematostella vectensis] gi|156213502|gb|EDO34519.1| predicted protein [Nematostella vectensis],7.59E-46,suppressor of SWI4 1 homolog [Bos taurus],1.25E-40,Q5REM3,36.89,3.00E-38,SSF1_PONAB,Suppressor of SWI4 1 homolog,pon:100171676,K14859,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Nucleus;Phosphoprotein.;,,,,,,,,,,,,,,,
contig172146,adi_v1_predictedtranscripts,adi_v1.07276,2003,predicted protein [Nematostella vectensis] gi|156209805|gb|EDO31039.1| predicted protein [Nematostella vectensis],6.27E-89,vacuolar protein sorting-associated protein 8 homolog [synthetic construct],1.01E-70,Q0P5W1,62.38,2.00E-71,VPS8_MOUSE,Vacuolar protein sorting-associated protein 8 homolog,No_KEGG,No_KEGGKO,GO:0008270,No_GOBP,zinc ion binding (GO:0008270);,No_GOCC,Alternative splicing;Complete proteome;Metal-binding;Phosphoprotein;Reference proteome;WD repeat;Zinc;Zinc-finger.;,,,,,,,,,,,,,,,
contig172952,adi_v1_predictedtranscripts,adi_v1.17169,4467,predicted protein [Nematostella vectensis] gi|156222405|gb|EDO43250.1| predicted protein [Nematostella vectensis],1.12E-179,"phosphatidylinositide phosphatase SAC2 [Homo sapiens] gi|187611527|sp|Q9Y2H2.3|SAC2_HUMAN RecName: Full=Phosphatidylinositide phosphatase SAC2; AltName: Full=Inositol polyphosphate 5-phosphatase F; AltName: Full=Sac domain-containing inositol phosphatase 2; AltName: Full=Sac domain-containing phosphoinositide 5-phosphatase 2; Short=hSAC2 gi|55660854|emb|CAH72974.1| inositol polyphosphate-5-phosphatase F [Homo sapiens] gi|55958128|emb|CAI16957.1| inositol polyphosphate-5-phosphatase F [Homo sapiens] gi|119569765|gb|EAW49380.1| inositol polyphosphate-5-phosphatase F, isoform CRA_b [Homo sapiens] gi|119569766|gb|EAW49381.1| inositol polyphosphate-5-phosphatase F, isoform CRA_b [Homo sapiens] gi|168278771|dbj|BAG11265.1| inositol polyphosphate-5-phosphatase F [synthetic construct]",3.20E-118,Q9Y2H2,42.75,1.00E-119,SAC2_HUMAN,Phosphatidylinositide phosphatase SAC2,hsa:22876,No_KEGGKO,GO:0042578,No_GOBP,phosphoric ester hydrolase activity (GO:0042578);,No_GOCC,Alternative splicing;Complete proteome;Hydrolase;Phosphoprotein;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
